,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Kavaratti,IN,10.5669,72.642,82.65,75,65,5.35,broken clouds
144,Wakkanai,JP,45.4094,141.6739,44.02,69,100,15.61,overcast clouds
145,Flin Flon,CA,54.7682,-101.865,32.11,64,100,1.48,light snow
146,Maceio,BR,-9.6658,-35.7353,80.04,83,40,5.75,scattered clouds
147,Maragogi,BR,-9.0122,-35.2225,78.49,83,54,8.28,broken clouds
148,Hays,US,30.0502,-98.0336,88.0,60,61,1.01,broken clouds
149,Kruisfontein,ZA,-34.0033,24.7314,58.89,90,7,6.08,clear sky
150,Dogondoutchi,NE,13.6393,4.0287,84.88,10,44,10.6,scattered clouds
151,Jian,CN,27.1172,114.9793,53.69,95,100,2.33,overcast clouds
152,High Rock,BS,26.6208,-78.2833,82.42,71,23,10.94,few clouds
153,Billings,US,45.7833,-108.5007,44.29,51,40,12.66,scattered clouds
154,Westerville,US,40.1262,-82.9291,52.05,40,0,11.5,clear sky
155,Saskylakh,RU,71.9167,114.0833,27.79,96,100,13.27,light snow
156,Chapais,CA,49.7834,-74.8492,24.58,81,100,11.16,overcast clouds
157,Labuhan,ID,-6.8844,112.2051,79.39,87,58,3.38,broken clouds
158,Sawtell,AU,-30.3833,153.1,65.19,100,100,4.61,overcast clouds
159,Kanniyakumari,IN,8.0833,77.5667,81.7,81,64,14.67,broken clouds
160,Mar Del Plata,AR,-38.0023,-57.5575,65.08,89,0,11.99,clear sky
161,Saravena,CO,6.9538,-71.8752,74.17,88,100,2.39,overcast clouds
162,Touros,BR,-5.1989,-35.4608,79.84,79,64,7.65,broken clouds
163,Hithadhoo,MV,-0.6,73.0833,82.51,76,44,6.2,scattered clouds
164,Upernavik,GL,72.7868,-56.1549,-2.13,82,100,14.85,overcast clouds
165,Visby,SE,57.6409,18.296,34.02,80,18,8.05,few clouds
166,Shubarshi,KZ,48.5872,57.1869,52.97,57,16,3.29,few clouds
167,Port Moresby,PG,-9.4431,147.1797,79.2,84,73,2.28,broken clouds
168,Pangai,TO,-19.8,-174.35,82.33,74,100,11.39,overcast clouds
169,Channel-Port Aux Basques,CA,47.5702,-59.1367,34.38,90,92,29.44,overcast clouds
170,Lokoja,NG,7.8024,6.743,76.98,82,100,1.59,light rain
171,Hanover,DE,52.3705,9.7332,50.11,65,0,5.75,clear sky
172,Charlestown,AU,-32.95,151.6667,63.82,96,26,5.01,scattered clouds
173,Margate,GB,51.3813,1.3862,51.31,76,100,1.01,overcast clouds
174,Ambilobe,MG,-13.2,49.05,72.52,89,53,2.95,broken clouds
175,Kavieng,PG,-2.5744,150.7967,84.63,68,87,13.24,overcast clouds
176,Savannah Bight,HN,16.45,-85.85,81.16,71,1,16.87,clear sky
177,Male,MV,4.1748,73.5089,83.86,72,99,12.1,overcast clouds
178,Pisco,PE,-13.7,-76.2167,68.05,73,0,20.71,clear sky
179,Manzil Salim,TN,35.8567,8.4765,47.39,80,2,9.89,clear sky
180,Bethel,US,41.3712,-73.414,48.56,39,40,10.36,scattered clouds
181,Ancud,CL,-41.8697,-73.8203,55.22,82,100,4.76,overcast clouds
